003030,세아제강지주,기타 금융업
003060,에이프로젠제약,의약품 제조업
003070,코오롱글로벌,토목 건설업
003080,성보화학,"비료, 농약 및 살균, 살충제 제조업"
003090,대웅,기타 금융업
003120,일성신약,의약품 제조업
003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
003200,일신방직,방적 및 가공사 제조업
003220,대원제약,의약품 제조업
003230,삼양식품,기타 식품 제조업
003240,태광산업,화학섬유 제조업
003280,흥아해운,해상 운송업
003300,한일홀딩스,"시멘트, 석회, 플라스터 및 그 제품 제조업"
003350,한국화장품제조,기타 화학제품 제조업
003410,쌍용양회공업,"시멘트, 석회, 플라스터 및 그 제품 제조업"
003460,유화증권,금융 지원 서비스업
003470,유안타증권,금융 지원 서비스업
003480,한진중공업홀딩스,연료용 가스 제조 및 배관공급업
003490,대한항공,항공 여객 운송업
003520,영진약품,의약품 제조업
003530,한화투자증권,금융 지원 서비스업
003540,대신증권,금융 지원 서비스업
003550,LG,기타 금융업
003560,아이에이치큐,"영화, 비디오물, 방송프로그램 제작 및 배급업"
003570,S&T중공업,자동차 신품 부품 제조업
003580,넥스트사이언스,기타 비금속광물 광업
003610,방림,직물직조 및 직물제품 제조업
003620,쌍용자동차,자동차용 엔진 및 자동차 제조업
003650,미창석유공업,석유 정제품 제조업
003670,포스코케미칼,"내화, 비내화 요업제품 제조업"
003680,한성기업,수산물 가공 및 저장 처리업
003690,코리안리,재 보험업
003720,삼영화학공업,플라스틱제품 제조업
003780,진양산업,플라스틱제품 제조업
003830,대한화섬,화학섬유 제조업
003850,보령제약,의약품 제조업
003920,남양유업,낙농제품 및 식용빙과류 제조업
003960,사조대림,수산물 가공 및 저장 처리업
004000,롯데정밀화학,기초 화학물질 제조업
004020,현대제철,1차 철강 제조업
004060,SG세계물산,상품 종합 도매업
004080,신흥,기계장비 및 관련 물품 도매업
004090,한국석유공업,기타 비금속 광물제품 제조업
004100,태양금속공업,자동차 신품 부품 제조업
004140,동방,기타 운송관련 서비스업
